college,state,R1_closing_AIR,official_url,disclosure_found,disclosure_url,scribd_found,scribd_url,verdict,sessions_exposed,checked_date,notes
"Sri Krishna Medical College, Muzaffarpur",Bihar,10119,,N/A,,N,,PROVISIONAL,,2026-08-19,Undetermined: no official domain resolved from this egress. Third-party re-host sweep for this state was clean. See README limits.
"Govt Medical College Ratlam, Gram Banjali",Madhya Pradesh,10378,https://gmcratlam.org,unresolved,https://gmcratlam.org/nmc.aspx,N,,PROVISIONAL,,2026-08-19,"HAS both an Information under MSR clause B.1.11 page and a Student List page - but both are ASP.NET shells that render content via postback, returning no list to a plain fetch. Cannot confirm absence. Treat as elevated risk: same MP pattern as GMC Datia, which FAILs."
"Govt. Medical College, Sirohi (Rajasthan)",Rajasthan,10476,,N/A,,N,,PROVISIONAL,,2026-08-19,Undetermined: no official domain resolved from this egress. Third-party re-host sweep for this state was clean. See README limits.
"Government Medical College, Bundi",Rajasthan,10692,,N/A,,N,,PROVISIONAL,,2026-08-19,Undetermined: no official domain resolved from this egress. Third-party re-host sweep for this state was clean. See README limits.
"Government Medical College, Hanumangarh",Rajasthan,10750,,N/A,,N,,PROVISIONAL,,2026-08-19,Undetermined: no official domain resolved from this egress. Third-party re-host sweep for this state was clean. See README limits.
"Government Medical College, Dholpur",Rajasthan,10856,,N/A,,N,,PROVISIONAL,,2026-08-19,Undetermined: no official domain resolved from this egress. Third-party re-host sweep for this state was clean. See README limits.
"Anugrah Narayan Magadh Medical College, Gaya",Bihar,10932,,N/A,,N,,PROVISIONAL,,2026-08-19,Undetermined: no official domain resolved from this egress. Third-party re-host sweep for this state was clean. See README limits.
Gmc Karauli,Rajasthan,11290,,N/A,,N,,PROVISIONAL,,2026-08-19,Undetermined: no official domain resolved from this egress. Third-party re-host sweep for this state was clean. See README limits.
"Govt Medical College Shivpuri, Near Katha Mill",Madhya Pradesh,11464,,N/A,,N,,PROVISIONAL,,2026-08-19,Undetermined: no official domain resolved from this egress. Third-party re-host sweep for this state was clean. See README limits.
Govt Medical College Badaun,Uttar Pradesh,11575,,N/A,,N,,PROVISIONAL,,2026-08-19,Undetermined: no official domain resolved from this egress. Third-party re-host sweep for this state was clean. See README limits.
"Govt. Medical College, Udhampur",Jammu And Kashmir,11579,https://gmcudhampur.in,N,,N,,PASS,,2026-08-19,"All merit lists on site are staff recruitment (Junior Resident, computer operator, non-gazetted). No MBBS admitted list. Scribd hits for GMC Udhampur are staff-selection notices, not student rosters."
Government Medical College Purnea,Bihar,11672,,N/A,,N,,PROVISIONAL,,2026-08-19,Undetermined: no official domain resolved from this egress. Third-party re-host sweep for this state was clean. See README limits.
"Government Medical College, Sawai Madhopur",Rajasthan,11726,,N/A,,N,,PROVISIONAL,,2026-08-19,Undetermined: no official domain resolved from this egress. Third-party re-host sweep for this state was clean. See README limits.
"Government Medical College, Banswara",Rajasthan,11845,,N/A,,N,,PROVISIONAL,,2026-08-19,Undetermined: no official domain resolved from this egress. Third-party re-host sweep for this state was clean. See README limits.
Soban Singh Jeena Government Institute Of Medical Science &,Uttarakhand,11917,,N/A,,N,,PROVISIONAL,,2026-08-19,Undetermined: no official domain resolved from this egress. Third-party re-host sweep for this state was clean. See README limits.
"Government Medical College, Kathua",Jammu And Kashmir,11929,https://gmckathua.in,unresolved,,N,,PROVISIONAL,,2026-08-19,"No MBBS admitted roster found; hot links are hostel/quarters notices and a GNM (nursing) leftover-seat shortlist. But several site PDFs are scanned images with no extractable text, so absence is not positively confirmed."
"Govt. Medical College, Khandwa",Madhya Pradesh,11960,https://gmckhandwa.org,unresolved,https://gmckhandwa.org/student-section.aspx,N,,PROVISIONAL,,2026-08-19,"Site carries a Student List nav item (ASP.NET postback shell, no content on plain fetch). Cannot confirm absence. Same MP ASP.NET family as Ratlam. CSV state was blank; Khandwa is MP."
"Government Medical College, Anantnag J&K",Jammu And Kashmir,12163,https://gmcanantnag.ac.in,unresolved,https://gmcanantnag.ac.in/PDFs/NMC Proforma.pdf,N,,PROVISIONAL,,2026-08-19,NMC Proforma (the B.1.11 disclosure) and several notification PDFs are scanned images with no extractable text; a roster could be embedded. Other merit lists on site are staff recruitment. Needs OCR.
"Government Medical College, Baran",Rajasthan,12166,,N/A,,N,,PROVISIONAL,,2026-08-19,Undetermined: no official domain resolved from this egress. Third-party re-host sweep for this state was clean. See README limits.
